stage,progress,timesteps,mean_return,std_return,rms_angle_deg,upright_ratio,rms_angular_velocity,rms_torque
random,0.0,0,-1271.4539813710285,314.47603113985963,127.17808096084268,0.013500000000000002,3.1391041368757224,1.157307920576811
25_percent,0.25,28672,-194.555996119727,142.19304922004605,43.66710117489635,0.767,1.2670375082727037,0.8443673236181667
50_percent,0.5,53248,-175.813195554655,123.7965734004719,41.37348329738345,0.7855000000000001,1.2242946137300492,0.7373527246622553
75_percent,0.75,77824,-190.6313657867575,137.1358648308607,43.168759178953124,0.7815,1.2853549780072755,0.8053042120625495
100_percent,1.0,102400,-176.88775476976292,124.3257688209234,41.73582499697387,0.7975,1.2202431490878205,0.7777161438156919
